nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Test  Loss: 0.7292 | Test  Acc: 0.7621
============ Train epoch 31 ============
 MNIST      | Train Loss: 0.0219 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3997 | Train Acc: 0.9381
 USPS       | Train Loss: 0.0316 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0563 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0518 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1507 | Test  Acc: 0.9601
 SVHN       | Test  Loss: 1.1863 | Test  Acc: 0.6091
 USPS       | Test  Loss: 0.1968 | Test  Acc: 0.9484
 SynthDigits| Test  Loss: 0.6270 | Test  Acc: 0.8016
 MNIST-M    | Test  Loss: 0.7041 | Test  Acc: 0.7729
============ Train epoch 32 ============
 MNIST      | Train Loss: 0.0229 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3771 | Train Acc: 0.9381
 USPS       | Train Loss: 0.0256 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0453 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0553 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1508 | Test  Acc: 0.9581
 SVHN       | Test  Loss: 1.1720 | Test  Acc: 0.6136
 USPS       | Test  Loss: 0.1846 | Test  Acc: 0.9473
 SynthDigits| Test  Loss: 0.6122 | Test  Acc: 0.8060
 MNIST-M    | Test  Loss: 0.7225 | Test  Acc: 0.7654
============ Train epoch 33 ============
 MNIST      | Train Loss: 0.0221 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3577 | Train Acc: 0.9462
 USPS       | Train Loss: 0.0290 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0435 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0548 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1528 | Test  Acc: 0.9573
 SVHN       | Test  Loss: 1.1658 | Test  Acc: 0.6123
 USPS       | Test  Loss: 0.1857 | Test  Acc: 0.9484
 SynthDigits| Test  Loss: 0.6068 | Test  Acc: 0.8065
 MNIST-M    | Test  Loss: 0.7183 | Test  Acc: 0.7688
============ Train epoch 34 ============
 MNIST      | Train Loss: 0.0276 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.3943 | Train Acc: 0.9341
 USPS       | Train Loss: 0.0228 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0518 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0596 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1515 | Test  Acc: 0.9601
 SVHN       | Test  Loss: 1.1868 | Test  Acc: 0.6097
 USPS       | Test  Loss: 0.1820 | Test  Acc: 0.9473
 SynthDigits| Test  Loss: 0.6332 | Test  Acc: 0.7993
 MNIST-M    | Test  Loss: 0.7383 | Test  Acc: 0.7609
============ Train epoch 35 ============
 MNIST      | Train Loss: 0.0404 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3910 | Train Acc: 0.9246
 USPS       | Train Loss: 0.0341 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0638 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0766 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1689 | Test  Acc: 0.9581
 SVHN       | Test  Loss: 1.1928 | Test  Acc: 0.6084
 USPS       | Test  Loss: 0.2047 | Test  Acc: 0.9446
 SynthDigits| Test  Loss: 0.6605 | Test  Acc: 0.7908
 MNIST-M    | Test  Loss: 0.7630 | Test  Acc: 0.7514
============ Train epoch 36 ============
 MNIST      | Train Loss: 0.0196 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3747 | Train Acc: 0.9367
 USPS       | Train Loss: 0.0233 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0401 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0460 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1464 | Test  Acc: 0.9610
